epmc_doi,epmc_id,epmc_source,epm_links,epm_links_id,epm_links_source,epm_links_type
10.22541/au.160674522.20049875/v1,PPR247187,PPR,0,NA,NA,NA
10.22541/au.160566855.52484267/v1,PPR244860,PPR,0,NA,NA,NA
10.22541/au.160580347.71029303/v1,PPR244793,PPR,0,NA,NA,NA
10.22541/au.160654865.56831042/v1,PPR245818,PPR,0,NA,NA,NA
10.22541/au.160667462.20884169/v1,PPR245916,PPR,0,NA,NA,NA
10.22541/au.160588464.45020441/v1,PPR244766,PPR,0,NA,NA,NA
10.22541/au.160579086.64861961/v1,PPR244802,PPR,0,NA,NA,NA
10.22541/au.160645871.12621982/v1,PPR245680,PPR,0,NA,NA,NA
10.22541/au.160563638.88563776/v1,PPR244871,PPR,0,NA,NA,NA
10.22541/au.160616173.35255142/v1,PPR244690,PPR,0,NA,NA,NA
10.22541/au.160684627.70191438/v1,PPR247140,PPR,0,NA,NA,NA
10.22541/au.160692315.55009967/v1,PPR247878,PPR,0,NA,NA,NA
10.22541/au.160647487.78215012/v1,PPR245672,PPR,0,NA,NA,NA
10.22541/au.160568748.89179799/v1,PPR244853,PPR,0,NA,NA,NA
10.22541/au.160645872.24086101/v1,PPR245679,PPR,0,NA,NA,NA
10.22541/au.160579638.84277232/v1,PPR244797,PPR,0,NA,NA,NA
10.22541/au.158921777.79483839/v2,PPR244895,PPR,0,NA,NA,NA
10.22541/au.160606443.31777530/v1,PPR244739,PPR,0,NA,NA,NA
10.22541/au.160571530.09340143/v1,PPR244832,PPR,0,NA,NA,NA
10.22541/au.160632205.50767847/v1,PPR244616,PPR,0,NA,NA,NA
10.22541/au.160614799.98699073/v1,PPR244704,PPR,0,NA,NA,NA
10.22541/au.160639042.27429529/v1,PPR244593,PPR,0,NA,NA,NA
10.22541/au.160594393.38527847/v1,PPR244753,PPR,0,NA,NA,NA
10.22541/au.160666756.66055440/v1,PPR245920,PPR,0,NA,NA,NA
10.22541/au.160648928.81027174/v1,PPR245660,PPR,0,NA,NA,NA
10.1101/2020.06.18.157933,PPR178301,PPR,0,NA,NA,NA
10.1101/2020.04.05.026187,PPR139520,PPR,0,NA,NA,NA
10.1101/2020.04.20.050088,PPR152503,PPR,0,NA,NA,NA
10.1101/2020.05.28.120709,PPR168780,PPR,0,NA,NA,NA
10.1101/2020.01.24.919159,PPR110378,PPR,1,32054124,MED,Preprint of
10.1101/2020.10.17.339051,PPR227298,PPR,0,NA,NA,NA
10.1101/2020.11.25.398909,PPR245016,PPR,0,NA,NA,NA
10.1101/2020.10.28.355305,PPR231789,PPR,0,NA,NA,NA
10.1101/2020.07.01.183020,PPR183321,PPR,0,NA,NA,NA
10.1101/2020.07.27.223172,PPR193009,PPR,0,NA,NA,NA
10.1101/2020.06.02.130849,PPR171281,PPR,0,NA,NA,NA
10.1101/2020.08.11.245696,PPR199567,PPR,0,NA,NA,NA
10.1101/2020.10.13.308676,PPR225550,PPR,0,NA,NA,NA
10.1101/2020.09.11.294330,PPR213650,PPR,1,33217430,MED,Preprint of
10.1101/2020.11.10.375022,PPR236741,PPR,0,NA,NA,NA
10.1101/2020.04.14.041319,PPR151621,PPR,1,33134554,MED,Preprint of
10.1101/2020.10.27.357426,PPR231227,PPR,0,NA,NA,NA
10.1101/2020.10.29.361287,PPR232816,PPR,0,NA,NA,NA
10.1101/2020.04.28.051789,PPR156943,PPR,0,NA,NA,NA
10.1101/2020.05.07.082925,PPR160051,PPR,1,33045283,MED,Preprint of
10.1101/2020.10.14.339986,PPR226690,PPR,0,NA,NA,NA
10.1101/2020.05.24.113423,PPR167211,PPR,0,NA,NA,NA
10.1101/2020.09.11.293258,PPR213424,PPR,0,NA,NA,NA
10.1101/2020.11.13.370387,PPR238305,PPR,0,NA,NA,NA
10.1101/2020.08.10.243980,PPR198993,PPR,0,NA,NA,NA
10.1101/2020.08.11.232520,PPR199568,PPR,0,NA,NA,NA
10.1101/2020.05.16.099176,PPR163706,PPR,0,NA,NA,NA
10.1101/2020.04.10.036335,PPR150556,PPR,0,NA,NA,NA
10.1101/2020.05.12.092163,PPR162407,PPR,1,33003197,MED,Preprint of
10.1101/2020.09.10.292318,PPR213426,PPR,0,NA,NA,NA
10.1101/2020.08.31.275701,PPR208048,PPR,0,NA,NA,NA
10.1101/2020.07.03.185850,PPR183770,PPR,0,NA,NA,NA
10.1101/2020.03.15.992883,PPR117896,PPR,0,NA,NA,NA
10.1101/2020.10.23.347534,PPR230038,PPR,0,NA,NA,NA
10.1101/2020.06.26.174193,PPR180917,PPR,0,NA,NA,NA
10.1101/2020.03.11.986836,PPR117314,PPR,0,NA,NA,NA
10.1101/2020.02.05.920009,PPR112005,PPR,1,33009914,MED,Preprint of
10.1101/2020.07.19.211235,PPR189967,PPR,0,NA,NA,NA
10.1101/2020.07.15.204404,PPR188002,PPR,0,NA,NA,NA
10.1101/2020.08.04.236315,PPR196531,PPR,0,NA,NA,NA
10.1101/2020.05.31.126136,PPR169838,PPR,1,33200080,MED,Preprint of
10.1101/2020.07.10.197889,PPR186385,PPR,0,NA,NA,NA
10.1101/2020.04.17.046086,PPR152615,PPR,1,32669681,MED,Preprint of
10.1101/2020.07.30.229187,PPR194582,PPR,0,NA,NA,NA
10.1101/2020.06.26.174698,PPR181269,PPR,0,NA,NA,NA
10.1101/2020.06.29.178384,PPR182300,PPR,1,33293367,MED,Preprint of
10.1101/2020.07.07.192005,PPR185027,PPR,1,33166547,MED,Preprint of
10.1101/2020.12.07.414292,PPR250051,PPR,0,NA,NA,NA
10.1101/2020.10.05.327197,PPR222628,PPR,0,NA,NA,NA
10.1101/2020.10.28.359356,PPR231805,PPR,0,NA,NA,NA
10.1101/2020.11.18.388488,PPR240874,PPR,0,NA,NA,NA
10.1101/2020.06.30.178897,PPR182304,PPR,0,NA,NA,NA
10.1101/2020.06.23.164947,PPR179699,PPR,1,32919067,MED,Preprint of
10.1101/2020.09.24.312595,PPR219012,PPR,0,NA,NA,NA
10.1101/2020.05.21.109546,PPR166420,PPR,1,32792628,MED,Preprint of
10.1101/2020.06.30.180380,PPR182303,PPR,0,NA,NA,NA
10.1101/2020.10.14.340034,PPR226734,PPR,0,NA,NA,NA
10.1101/2020.03.13.991570,PPR117478,PPR,1,32245784,MED,Preprint of
10.1101/2020.07.11.198291,PPR186494,PPR,0,NA,NA,NA
10.1101/2020.04.07.029199,PPR150274,PPR,0,NA,NA,NA
10.1101/2020.08.19.251249,PPR203934,PPR,0,NA,NA,NA
10.1101/2020.07.20.211789,PPR189982,PPR,0,NA,NA,NA
10.1101/2020.03.11.987958,PPR116999,PPR,1,32366817,MED,Preprint of
10.1101/2020.09.30.318261,PPR220777,PPR,0,NA,NA,NA
10.1101/2020.09.11.292631,PPR213423,PPR,0,NA,NA,NA
10.1101/2020.04.16.044016,PPR152258,PPR,0,NA,NA,NA
10.1101/2020.08.16.252676,PPR201607,PPR,0,NA,NA,NA
10.1101/2020.04.23.058776,PPR155229,PPR,1,32562705,MED,Preprint of
10.1101/2020.08.17.251728,PPR202779,PPR,0,NA,NA,NA
10.1101/2020.01.19.911669,PPR109545,PPR,1,32111262,MED,Preprint of
10.1101/2020.09.03.280719,PPR210270,PPR,0,NA,NA,NA
10.1101/2020.06.29.177030,PPR181610,PPR,0,NA,NA,NA
10.1101/2020.10.31.363176,PPR232977,PPR,0,NA,NA,NA
10.1101/2020.05.07.082230,PPR160008,PPR,0,NA,NA,NA
10.1101/2020.04.27.064139,PPR156494,PPR,0,NA,NA,NA
10.1101/2020.05.20.107243,PPR166414,PPR,1,32736569,MED,Preprint of
10.1101/2020.05.22.111518,PPR167728,PPR,1,32743622,MED,Preprint of
10.1101/2020.06.25.171686,PPR180497,PPR,1,32763915,MED,Preprint of
10.1101/2020.11.24.395079,PPR243672,PPR,0,NA,NA,NA
10.1101/2020.05.06.081497,PPR160063,PPR,1,32854108,MED,Preprint of
10.1101/2020.07.30.223875,PPR194566,PPR,0,NA,NA,NA
10.1101/2020.05.20.106351,PPR165518,PPR,0,NA,NA,NA
10.1101/2020.02.20.958272,PPR113927,PPR,0,NA,NA,NA
10.1101/2020.10.02.323915,PPR221512,PPR,1,33253634,MED,Preprint of
10.1101/2020.06.22.165712,PPR179697,PPR,1,33060595,MED,Preprint of
10.1101/2020.11.23.394114,PPR243596,PPR,0,NA,NA,NA
10.1101/2020.09.21.305441,PPR217091,PPR,1,33275640,MED,Preprint of
10.1101/2020.08.23.263327,PPR205473,PPR,0,NA,NA,NA
10.1101/2020.11.30.404624,PPR246531,PPR,0,NA,NA,NA
10.1101/2020.08.02.232892,PPR195416,PPR,0,NA,NA,NA
10.1101/2020.04.21.050922,PPR153393,PPR,0,NA,NA,NA
10.1101/2020.07.30.229120,PPR194966,PPR,0,NA,NA,NA
10.1101/2020.07.29.227595,PPR194592,PPR,0,NA,NA,NA
10.1101/2020.03.29.009464,PPR130657,PPR,1,32692647,MED,Preprint of
10.1101/2020.03.02.974139,PPR116110,PPR,0,NA,NA,NA
10.1101/2020.06.14.147868,PPR176180,PPR,1,32804015,MED,Preprint of
10.1101/2020.07.27.218115,PPR194527,PPR,0,NA,NA,NA
10.1101/2020.12.13.422469,PPR252889,PPR,0,NA,NA,NA
10.1101/2020.11.26.400390,PPR245712,PPR,0,NA,NA,NA
10.1101/2020.06.05.135806,PPR172507,PPR,1,33162987,MED,Preprint of
10.1101/2020.07.31.230870,PPR194902,PPR,0,NA,NA,NA
10.1101/2020.11.30.399154,PPR246557,PPR,0,NA,NA,NA
10.1101/2020.10.19.344713,PPR227824,PPR,0,NA,NA,NA
10.1101/2020.03.29.013342,PPR134118,PPR,0,NA,NA,NA
10.1101/2020.06.20.162933,PPR178687,PPR,1,33125064,MED,Preprint of
10.1101/2020.08.28.267567,PPR207455,PPR,0,NA,NA,NA
10.1101/2020.05.05.078758,PPR160378,PPR,0,NA,NA,NA
10.1101/2020.06.11.147496,PPR175536,PPR,1,33097791,MED,Preprint of
10.1101/2020.12.01.406116,PPR247339,PPR,0,NA,NA,NA
10.1101/2020.05.08.083964,PPR160452,PPR,1,32571838,MED,Preprint of
10.1101/2020.08.09.242867,PPR199038,PPR,0,NA,NA,NA
10.1101/2020.09.25.313601,PPR219005,PPR,0,NA,NA,NA
10.1101/2020.06.09.143438,PPR174328,PPR,0,NA,NA,NA
10.1101/2020.11.12.380196,PPR237546,PPR,0,NA,NA,NA
10.1101/2020.09.08.280818,PPR211792,PPR,0,NA,NA,NA
10.1101/2020.09.23.309294,PPR217724,PPR,0,NA,NA,NA
10.1101/2020.04.05.026336,PPR141188,PPR,0,NA,NA,NA
10.1101/2020.05.12.088088,PPR161947,PPR,1,32667280,MED,Preprint of
10.1101/2020.08.19.253369,PPR203791,PPR,0,NA,NA,NA
10.1101/2020.04.29.069591,PPR157427,PPR,1,32987722,MED,Preprint of
10.1101/2020.05.11.088724,PPR161470,PPR,1,33276717,MED,Preprint of
10.1101/2020.06.23.166397,PPR179668,PPR,0,NA,NA,NA
10.1101/2020.04.25.061499,PPR155250,PPR,0,NA,NA,NA
10.1101/2020.05.13.094490,PPR162366,PPR,0,NA,NA,NA
10.1101/2020.07.07.192203,PPR185026,PPR,0,NA,NA,NA
10.1101/2020.06.09.134460,PPR174331,PPR,0,NA,NA,NA
10.1101/2020.07.09.195016,PPR185963,PPR,0,NA,NA,NA
10.1101/2020.05.20.105247,PPR165515,PPR,1,32738193,MED,Preprint of
10.1101/2020.11.21.392670,PPR242848,PPR,0,NA,NA,NA
10.1101/2020.11.12.379537,PPR237544,PPR,0,NA,NA,NA
10.1101/2020.03.22.002386,33239446,MED,1,PPR173905,PPR,Preprint in
10.1101/2020.09.03.282103,PPR210806,PPR,0,NA,NA,NA
10.1101/2020.08.28.269175,PPR207477,PPR,0,NA,NA,NA
10.1101/2020.08.15.252320,PPR201706,PPR,1,33058755,MED,Preprint of
10.1101/2020.12.03.409318,PPR248019,PPR,0,NA,NA,NA
10.1101/2020.03.31.018978,PPR138827,PPR,1,32835302,MED,Preprint of
10.1101/2020.04.27.064774,PPR155889,PPR,1,32868447,MED,Preprint of
10.1101/2020.05.31.126524,PPR170282,PPR,1,32846910,MED,Preprint of
10.1101/2020.04.20.052159,PPR153384,PPR,0,NA,NA,NA
10.1101/2020.04.20.046144,PPR153020,PPR,0,NA,NA,NA
10.1101/2020.02.22.961268,PPR115117,PPR,0,NA,NA,NA
10.1101/2020.07.10.197913,PPR186557,PPR,1,32870820,MED,Preprint of
10.1101/2020.05.07.083048,PPR160057,PPR,1,33024174,MED,Preprint of
10.1101/2020.06.29.179176,PPR182214,PPR,0,NA,NA,NA
10.1101/2020.08.29.272864,PPR207593,PPR,0,NA,NA,NA
10.1101/2020.05.08.084806,PPR160426,PPR,1,32946807,MED,Preprint of
10.1101/2020.07.08.193045,PPR185405,PPR,1,33260195,MED,Preprint of
10.1101/2020.04.13.036293,PPR150973,PPR,0,NA,NA,NA
10.1101/2020.06.18.160655,PPR178299,PPR,0,NA,NA,NA
10.1101/2020.09.03.280446,PPR210298,PPR,0,NA,NA,NA
10.1101/2020.05.14.093054,PPR163493,PPR,0,NA,NA,NA
10.1101/2020.12.10.419044,PPR250955,PPR,0,NA,NA,NA
10.1101/2020.08.28.272518,PPR207465,PPR,0,NA,NA,NA
10.1101/2020.07.16.205088,PPR188654,PPR,0,NA,NA,NA
10.1101/2020.12.02.408823,PPR248025,PPR,0,NA,NA,NA
10.1101/2020.10.27.356758,PPR230537,PPR,0,NA,NA,NA
10.1101/2020.09.30.321596,PPR220596,PPR,0,NA,NA,NA
10.1101/2020.07.07.190967,PPR185081,PPR,0,NA,NA,NA
10.1101/2020.04.01.020594,PPR139562,PPR,0,NA,NA,NA
10.1101/2020.09.16.300319,PPR215468,PPR,0,NA,NA,NA
10.1101/2020.07.28.223784,PPR193468,PPR,0,NA,NA,NA
10.1101/2020.07.09.196618,PPR186408,PPR,1,33135382,MED,Preprint of
10.1101/2020.04.29.067843,PPR157739,PPR,0,NA,NA,NA
10.1101/2020.06.18.159467,PPR177851,PPR,1,33053371,MED,Preprint of
10.1101/2020.11.22.393587,PPR242847,PPR,0,NA,NA,NA
10.1101/2020.03.28.012468,PPR138858,PPR,1,32983097,MED,Preprint of
10.1101/2020.08.02.233023,PPR195417,PPR,1,33203855,MED,Preprint of
10.1101/2020.06.10.135533,PPR175314,PPR,0,NA,NA,NA
10.1101/2020.06.29.178616,PPR182313,PPR,0,NA,NA,NA
10.1101/2020.09.27.315796,PPR219881,PPR,0,NA,NA,NA
10.1101/2020.10.26.355784,PPR230753,PPR,0,NA,NA,NA
10.1101/2020.06.15.152835,PPR177225,PPR,1,32737467,MED,Preprint of
10.1101/2020.12.10.420489,PPR252797,PPR,0,NA,NA,NA
10.1101/2020.04.14.042002,PPR151393,PPR,0,NA,NA,NA
10.1101/2020.08.28.271569,PPR207469,PPR,0,NA,NA,NA
10.1101/2020.09.18.301952,PPR215586,PPR,0,NA,NA,NA
10.1101/2020.03.24.005298,PPR118796,PPR,1,32511245,MED,Preprint of
10.1101/2020.08.25.267328,PPR206487,PPR,0,NA,NA,NA
10.1101/2020.09.24.312355,PPR218580,PPR,0,NA,NA,NA
10.1101/2020.08.04.235747,PPR196532,PPR,0,NA,NA,NA
10.1101/2020.08.31.276683,PPR208465,PPR,1,33257477,MED,Preprint of
10.1101/2020.04.07.029132,PPR150266,PPR,1,32378705,MED,Preprint of
10.1101/2020.11.13.381335,PPR238149,PPR,0,NA,NA,NA
10.1101/2020.11.04.369041,PPR235152,PPR,0,NA,NA,NA
10.1101/2020.11.06.368191,PPR235662,PPR,0,NA,NA,NA
10.1101/2020.02.12.945576,PPR113690,PPR,0,NA,NA,NA
10.1101/2020.10.15.341479,PPR227164,PPR,0,NA,NA,NA
10.1101/2020.04.07.029090,PPR148758,PPR,1,32904469,MED,Preprint of
10.1101/2020.06.22.165464,PPR179652,PPR,0,NA,NA,NA
10.1101/2020.04.05.026633,PPR151333,PPR,0,NA,NA,NA
10.1101/2020.07.11.198770,PPR186477,PPR,0,NA,NA,NA
10.1101/2020.05.21.107870,PPR166040,PPR,0,NA,NA,NA
10.1101/2020.11.11.375972,PPR237571,PPR,0,NA,NA,NA
10.1101/2020.05.14.092767,PPR162906,PPR,0,NA,NA,NA
10.1101/2020.08.31.270736,PPR208056,PPR,0,NA,NA,NA
10.1101/2020.05.09.086165,PPR160701,PPR,1,32544566,MED,Preprint of
10.1101/2020.05.08.084384,PPR160449,PPR,1,32844124,MED,Preprint of
10.1101/2020.05.28.122374,PPR169408,PPR,1,32826754,MED,Preprint of
10.1101/2020.04.06.028647,PPR150283,PPR,0,NA,NA,NA
10.1101/2020.04.24.050534,PPR155002,PPR,0,NA,NA,NA
10.1101/2020.05.13.094714,PPR162967,PPR,1,33233425,MED,Preprint of
10.1101/2020.04.23.057042,PPR155003,PPR,0,NA,NA,NA
10.1101/2020.10.13.337584,PPR226097,PPR,0,NA,NA,NA
10.1101/2020.11.06.370916,PPR235577,PPR,0,NA,NA,NA
10.1101/2020.05.11.089045,PPR161469,PPR,1,32966801,MED,Preprint of
10.1101/2020.04.29.068890,PPR156922,PPR,0,NA,NA,NA
10.1101/2020.07.30.227470,PPR194579,PPR,1,33083026,MED,Preprint of
10.1101/2020.04.14.028407,PPR151704,PPR,0,NA,NA,NA
10.1101/2020.10.15.339473,PPR227170,PPR,0,NA,NA,NA
10.1101/2020.06.26.173567,PPR180896,PPR,0,NA,NA,NA
10.1101/2020.07.24.217570,PPR192079,PPR,0,NA,NA,NA
10.1101/2020.09.24.298851,PPR219109,PPR,1,33137182,MED,Preprint of
10.1101/2020.10.17.344002,PPR227269,PPR,0,NA,NA,NA
10.1101/2020.03.08.982637,PPR116876,PPR,0,NA,NA,NA
10.1101/2020.05.18.099507,PPR164491,PPR,0,NA,NA,NA
10.1101/2020.06.26.152520,PPR180897,PPR,0,NA,NA,NA
10.1101/2020.06.10.144188,PPR174335,PPR,1,32698441,MED,Preprint of
10.1101/2020.09.13.276923,PPR213787,PPR,0,NA,NA,NA
10.1101/2020.05.22.111187,PPR166972,PPR,1,33180746,MED,Preprint of
10.1101/2020.06.15.134403,PPR176749,PPR,0,NA,NA,NA
10.1101/2020.06.05.135194,PPR172430,PPR,0,NA,NA,NA
10.1101/2020.10.27.354563,PPR231809,PPR,0,NA,NA,NA
10.1101/2020.11.20.391193,PPR240873,PPR,0,NA,NA,NA
10.1101/2020.03.03.972133,PPR116590,PPR,0,NA,NA,NA
10.1101/2020.11.19.390187,PPR241022,PPR,0,NA,NA,NA
10.1101/2020.09.21.305698,PPR218005,PPR,0,NA,NA,NA
10.1101/2020.08.26.267997,PPR206480,PPR,0,NA,NA,NA
10.1101/2020.05.08.084103,PPR160450,PPR,0,NA,NA,NA
10.1101/2020.07.09.195008,PPR185971,PPR,1,33035211,MED,Preprint of
10.1101/2020.06.26.173146,PPR180861,PPR,1,33151953,MED,Preprint of
10.1101/2020.07.15.176933,PPR188049,PPR,0,NA,NA,NA
10.1101/2020.07.07.191247,PPR184992,PPR,1,33284827,MED,Preprint of
10.1101/2020.03.19.998724,PPR118453,PPR,1,32948757,MED,Preprint of
10.1101/2020.11.06.369439,PPR235578,PPR,0,NA,NA,NA
10.1101/2020.07.29.226761,PPR193954,PPR,0,NA,NA,NA
10.1101/2020.07.02.183764,PPR183268,PPR,0,NA,NA,NA
10.1101/2020.02.10.936898,PPR112469,PPR,0,NA,NA,NA
10.1101/2020.05.04.077826,PPR159114,PPR,0,NA,NA,NA
10.1101/2020.09.24.311704,PPR218996,PPR,0,NA,NA,NA
10.1101/2020.10.12.335513,PPR224939,PPR,0,NA,NA,NA
10.1101/2020.05.25.115774,PPR167661,PPR,0,NA,NA,NA
10.1101/2020.08.05.238188,PPR197189,PPR,0,NA,NA,NA
10.1101/2020.08.11.245100,PPR199573,PPR,0,NA,NA,NA
10.1101/2020.09.13.295691,PPR214132,PPR,0,NA,NA,NA
10.1101/2020.12.05.409821,PPR249616,PPR,0,NA,NA,NA
10.1101/2020.10.30.361873,PPR232818,PPR,0,NA,NA,NA
10.1101/2020.11.28.400671,PPR246105,PPR,0,NA,NA,NA
10.1101/2020.06.02.130161,PPR170792,PPR,1,32887876,MED,Preprint of
10.1101/2020.07.26.222232,PPR193011,PPR,1,33027617,MED,Preprint of
10.1101/2020.06.20.163162,PPR178685,PPR,0,NA,NA,NA
10.1101/2020.11.16.385401,PPR238799,PPR,0,NA,NA,NA
10.1101/2020.07.26.222257,PPR193008,PPR,0,NA,NA,NA
10.1101/2020.07.15.205211,PPR188048,PPR,1,32924219,MED,Preprint of
10.1101/2020.03.25.008805,PPR127008,PPR,1,33149198,MED,Preprint of
10.1101/2020.05.02.074021,PPR157968,PPR,0,NA,NA,NA
10.1101/2020.11.17.377432,PPR240028,PPR,0,NA,NA,NA
10.1101/2020.07.18.210161,PPR189401,PPR,0,NA,NA,NA
10.1101/2020.09.21.299776,PPR217141,PPR,0,NA,NA,NA
10.1101/2020.02.25.963546,PPR115060,PPR,1,32418793,MED,Preprint of
10.1101/2020.08.19.258244,PPR203935,PPR,0,NA,NA,NA
10.1101/2020.03.15.992818,PPR117899,PPR,1,32296544,MED,Preprint of
10.1101/2020.11.17.385500,PPR239461,PPR,0,NA,NA,NA
10.1101/2020.10.18.344622,PPR227793,PPR,0,NA,NA,NA
10.1101/2020.11.18.388934,PPR240018,PPR,0,NA,NA,NA
10.1101/2020.04.29.067728,PPR156921,PPR,0,NA,NA,NA
10.1101/2020.05.28.118059,PPR169409,PPR,1,33219228,MED,Preprint of
10.1101/2020.06.23.167544,PPR179661,PPR,1,33062952,MED,Preprint of
10.1101/2020.06.14.150862,PPR176181,PPR,1,32738255,MED,Preprint of
10.1101/2020.11.12.380816,PPR238167,PPR,0,NA,NA,NA
10.1101/2020.09.24.311845,PPR218620,PPR,0,NA,NA,NA
10.1101/2020.05.31.126615,PPR171213,PPR,0,NA,NA,NA
10.1101/2020.09.18.304493,PPR215183,PPR,0,NA,NA,NA
10.1101/2020.05.26.115790,PPR167625,PPR,1,33299503,MED,Preprint of
10.1101/2020.06.19.161802,PPR178289,PPR,0,NA,NA,NA
10.1101/2020.07.23.217083,PPR191290,PPR,0,NA,NA,NA
10.1101/2020.04.17.045161,PPR152406,PPR,0,NA,NA,NA
10.1101/2020.06.29.171173,PPR181614,PPR,0,NA,NA,NA
10.1101/2020.06.08.139477,PPR173379,PPR,0,NA,NA,NA
10.1101/2020.05.21.109272,PPR166027,PPR,0,NA,NA,NA
10.1101/2020.10.30.363002,PPR232982,PPR,0,NA,NA,NA
10.1101/2020.05.11.089409,PPR161915,PPR,0,NA,NA,NA
10.1101/2020.12.09.417121,PPR250954,PPR,0,NA,NA,NA
10.1101/2020.09.01.278366,PPR208777,PPR,0,NA,NA,NA
10.1101/2020.06.04.135046,PPR172501,PPR,0,NA,NA,NA
10.1101/2020.03.19.997890,PPR118100,PPR,0,NA,NA,NA
10.1101/2020.08.08.238469,PPR199037,PPR,0,NA,NA,NA
10.1101/2020.02.29.971127,PPR115516,PPR,0,NA,NA,NA
10.1101/2020.04.28.066985,PPR156946,PPR,1,32595958,MED,Preprint of
10.1101/2020.04.07.030734,PPR149894,PPR,0,NA,NA,NA
10.1101/2020.05.27.120105,PPR168783,PPR,0,NA,NA,NA
10.1101/2020.04.15.997254,PPR151408,PPR,0,NA,NA,NA
10.1101/2020.04.15.043364,PPR151618,PPR,0,NA,NA,NA
10.1101/2020.09.08.287201,PPR211794,PPR,0,NA,NA,NA
10.1101/2020.10.22.349522,PPR229406,PPR,0,NA,NA,NA
10.1101/2020.05.15.097741,PPR163488,PPR,0,NA,NA,NA
10.1101/2020.06.20.160499,PPR178473,PPR,0,NA,NA,NA
10.1101/2020.11.16.384594,PPR238807,PPR,0,NA,NA,NA
10.1101/2020.03.24.006544,PPR127062,PPR,0,NA,NA,NA
10.1101/2020.08.05.237404,PPR197202,PPR,0,NA,NA,NA
10.1101/2020.04.10.036020,PPR150393,PPR,0,NA,NA,NA
10.1101/2020.11.13.381228,PPR238304,PPR,0,NA,NA,NA
10.1101/2020.04.09.034942,PPR151421,PPR,0,NA,NA,NA
10.1101/2020.08.05.238618,PPR197188,PPR,1,33181329,MED,Preprint of
10.1101/2020.04.07.030445,PPR149887,PPR,0,NA,NA,NA
10.1101/2020.05.14.097311,PPR163491,PPR,1,32571894,MED,Preprint of
10.1101/2020.04.02.022186,PPR139607,PPR,0,NA,NA,NA
