source,identifier,posted_date,is_preprint_of,preprint_of_doi,is_published_CSHL,published_doi_CSHL
bioRxiv,10.1101/2020.08.31.275701,2020-08-31,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.03.185850,2020-07-03,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.15.992883,2020-03-17,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.23.347534,2020-10-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.26.174193,2020-06-26,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.11.986836,2020-03-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.02.05.920009,2020-02-07,is_preprint_of,10.1093/database/baaa070,TRUE,10.1093/database/baaa070
bioRxiv,10.1101/2020.07.19.211235,2020-07-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.15.204404,2020-07-15,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.04.236315,2020-08-04,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.31.126136,2020-05-31,is_preprint_of,10.1093/ofid/ofaa434,TRUE,10.1093/ofid/ofaa434
bioRxiv,10.1101/2020.07.10.197889,2020-07-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.17.046086,2020-04-19,is_preprint_of,10.1038/s41564-020-0770-5,TRUE,10.1038/s41564-020-0770-5
bioRxiv,10.1101/2020.07.30.229187,2020-07-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.26.174698,2020-06-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.29.178384,2020-06-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.07.192005,2020-07-07,is_preprint_of,10.1016/j.jviromet.2020.114013,TRUE,10.1016/j.jviromet.2020.114013
bioRxiv,10.1101/2020.12.07.414292,2020-12-07,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.05.327197,2020-10-06,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.28.359356,2020-10-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.18.388488,2020-11-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.30.178897,2020-06-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.23.164947,2020-06-23,is_preprint_of,10.1016/j.jsb.2020.107617,TRUE,10.1016/j.jsb.2020.107617
bioRxiv,10.1101/2020.09.24.312595,2020-09-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.21.109546,2020-05-22,is_preprint_of,10.1038/s41467-020-17892-0,TRUE,10.1038/s41467-020-17892-0
bioRxiv,10.1101/2020.06.30.180380,2020-06-30,is_preprint_of,10.1016/j.xcrm.2020.100137,TRUE,10.1016/j.xcrm.2020.100137
bioRxiv,10.1101/2020.10.14.340034,2020-10-15,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.13.991570,2020-03-14,is_preprint_of,10.1126/science.abb7269,TRUE,10.1126/science.abb7269
bioRxiv,10.1101/2020.07.11.198291,2020-07-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.07.029199,2020-04-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.19.251249,2020-08-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.20.211789,2020-07-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.11.987958,2020-03-12,is_preprint_of,10.1038/s41467-020-16256-y,TRUE,10.1038/s41467-020-16256-y
bioRxiv,10.1101/2020.09.30.318261,2020-09-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.11.292631,2020-09-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.16.044016,2020-04-17,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.16.252676,2020-08-17,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.23.058776,2020-04-25,is_preprint_of,10.1016/j.antiviral.2020.104857,TRUE,10.1016/j.antiviral.2020.104857
bioRxiv,10.1101/2020.08.17.251728,2020-08-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.01.19.911669,2020-01-19,is_preprint_of,10.1186/s40249-020-00640-3,TRUE,10.1186/s40249-020-00640-3
bioRxiv,10.1101/2020.09.03.280719,2020-09-03,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.29.177030,2020-06-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.31.363176,2020-11-01,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.07.082230,2020-05-08,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.27.064139,2020-04-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.20.107243,2020-05-22,is_preprint_of,10.1186/s12967-020-02456-z,TRUE,10.1186/s12967-020-02456-z
bioRxiv,10.1101/2020.05.22.111518,2020-05-23,is_preprint_of,10.1039/D0LC00547A,TRUE,10.1039/d0lc00547a
bioRxiv,10.1101/2020.06.25.171686,2020-06-25,is_preprint_of,10.1126/science.abd3629,TRUE,10.1126/science.abd3629
bioRxiv,10.1101/2020.11.24.395079,2020-11-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.06.081497,2020-05-07,is_preprint_of,10.1038/s41586-020-2708-8,TRUE,10.1038/s41586-020-2708-8
bioRxiv,10.1101/2020.07.30.223875,2020-07-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.20.106351,2020-05-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.02.20.958272,2020-02-21,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.02.323915,2020-10-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.22.165712,2020-06-23,is_preprint_of,10.1038/s41467-020-19055-7,TRUE,10.1038/s41467-020-19055-7
bioRxiv,10.1101/2020.11.23.394114,2020-11-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.21.305441,2020-09-21,NA,NA,TRUE,10.1371/journal.ppat.1009089
bioRxiv,10.1101/2020.08.23.263327,2020-08-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.30.404624,2020-11-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.02.232892,2020-08-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.21.050922,2020-04-21,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.30.229120,2020-07-31,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.29.227595,2020-07-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.29.009464,2020-03-30,is_preprint_of,10.1099/jgv.0.001472,TRUE,10.1099/jgv.0.001472
bioRxiv,10.1101/2020.03.02.974139,2020-03-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.14.147868,2020-06-15,is_preprint_of,10.1080/19420862.2020.1804241,TRUE,10.1080/19420862.2020.1804241
bioRxiv,10.1101/2020.07.27.218115,2020-07-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.12.13.422469,2020-12-13,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.26.400390,2020-11-27,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.05.135806,2020-06-05,is_preprint_of,10.3389/fimmu.2020.573526,TRUE,10.3389/fimmu.2020.573526
bioRxiv,10.1101/2020.07.31.230870,2020-07-31,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.30.399154,2020-11-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.19.344713,2020-10-19,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.29.013342,2020-03-31,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.20.162933,2020-06-21,is_preprint_of,10.1093/gbe/evaa229,TRUE,10.1093/gbe/evaa229
bioRxiv,10.1101/2020.08.28.267567,2020-08-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.05.078758,2020-05-08,is_preprint_of,10.1093/molbev/msaa284,TRUE,10.1093/molbev/msaa284
bioRxiv,10.1101/2020.06.11.147496,2020-06-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.12.01.406116,2020-12-01,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.08.083964,2020-05-08,is_preprint_of,10.1126/science.abc6952,TRUE,10.1126/science.abc6952
bioRxiv,10.1101/2020.08.09.242867,2020-08-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.25.313601,2020-09-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.09.143438,2020-06-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.12.380196,2020-11-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.08.280818,2020-09-08,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.23.309294,2020-09-23,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.05.026336,2020-04-07,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.12.088088,2020-05-12,is_preprint_of,10.1099/jgv.0.001469,TRUE,10.1099/jgv.0.001469
bioRxiv,10.1101/2020.08.19.253369,2020-08-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.29.069591,2020-04-30,is_preprint_of,10.3390/diagnostics10100739,TRUE,10.3390/diagnostics10100739
bioRxiv,10.1101/2020.05.11.088724,2020-05-11,NA,NA,TRUE,10.1186/s12864-020-07283-6
bioRxiv,10.1101/2020.06.23.166397,2020-06-23,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.25.061499,2020-04-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.13.094490,2020-05-14,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.07.192203,2020-07-07,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.09.134460,2020-06-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.09.195016,2020-07-09,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.20.105247,2020-05-20,is_preprint_of,10.1016/j.chom.2020.06.020,TRUE,10.1016/j.chom.2020.06.020
bioRxiv,10.1101/2020.11.21.392670,2020-11-23,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.12.379537,2020-11-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.22.002386,2020-03-22,is_preprint_of,10.1038/s41586-020-2286-9,TRUE,10.1038/s41586-020-2286-9
bioRxiv,10.1101/2020.09.03.282103,2020-09-04,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.28.269175,2020-08-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.15.252320,2020-08-16,is_preprint_of,10.1016/j.cell.2020.09.049,TRUE,10.1016/j.cell.2020.09.049
bioRxiv,10.1101/2020.12.03.409318,2020-12-03,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.31.018978,2020-04-02,is_preprint_of,10.1016/j.xcrm.2020.100036,TRUE,10.1016/j.xcrm.2020.100036
bioRxiv,10.1101/2020.04.27.064774,2020-04-27,is_preprint_of,10.1073/pnas.2008281117,TRUE,10.1073/pnas.2008281117
bioRxiv,10.1101/2020.05.31.126524,2020-06-01,is_preprint_of,10.3390/vaccines8030472,TRUE,10.3390/vaccines8030472
bioRxiv,10.1101/2020.04.20.052159,2020-04-21,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.20.046144,2020-04-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.02.22.961268,2020-02-27,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.10.197913,2020-07-11,is_preprint_of,10.1172/jci.insight.142362,TRUE,10.1172/jci.insight.142362
bioRxiv,10.1101/2020.05.07.083048,2020-05-07,is_preprint_of,10.1038/s41598-020-73616-w,TRUE,10.1038/s41598-020-73616-w
bioRxiv,10.1101/2020.06.29.179176,2020-07-01,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.29.272864,2020-08-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.08.084806,2020-05-09,is_preprint_of,10.1016/j.celrep.2020.108175,TRUE,10.1016/j.celrep.2020.108175
bioRxiv,10.1101/2020.07.08.193045,2020-07-09,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.13.036293,2020-04-13,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.18.160655,2020-06-19,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.03.280446,2020-09-03,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.14.093054,2020-05-15,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.12.10.419044,2020-12-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.28.272518,2020-08-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.16.205088,2020-07-17,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.12.02.408823,2020-12-03,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.27.356758,2020-10-27,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.30.321596,2020-10-01,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.07.190967,2020-07-07,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.01.020594,2020-04-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.16.300319,2020-09-17,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.28.223784,2020-07-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.09.196618,2020-07-10,is_preprint_of,10.1111/cts.12923,TRUE,10.1111/cts.12923
bioRxiv,10.1101/2020.04.29.067843,2020-05-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.18.159467,2020-06-18,is_preprint_of,10.1016/j.cels.2020.09.006,TRUE,10.1016/j.cels.2020.09.006
bioRxiv,10.1101/2020.11.22.393587,2020-11-23,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.28.012468,2020-03-29,is_preprint_of,10.3389/fimmu.2020.01836,TRUE,10.3389/fimmu.2020.01836
bioRxiv,10.1101/2020.08.02.233023,2020-08-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.10.135533,2020-06-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.29.178616,2020-06-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.27.315796,2020-09-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.26.355784,2020-10-26,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.15.152835,2020-06-17,is_preprint_of,10.1038/s41594-020-0478-5,TRUE,10.1038/s41594-020-0478-5
bioRxiv,10.1101/2020.12.10.420489,2020-12-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.14.042002,2020-04-15,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.28.271569,2020-08-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.18.301952,2020-09-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.24.005298,2020-03-24,is_preprint_of,10.1371/journal.pbio.3000715,TRUE,10.1371/journal.pbio.3000715
bioRxiv,10.1101/2020.08.25.267328,2020-08-26,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.24.312355,2020-09-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.04.235747,2020-08-04,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.31.276683,2020-09-01,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.07.029132,2020-04-11,is_preprint_of,10.1042/BSR20201312,TRUE,10.1042/bsr20201312
bioRxiv,10.1101/2020.11.13.381335,2020-11-13,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.04.369041,2020-11-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.06.368191,2020-11-08,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.02.12.945576,2020-02-20,is_preprint_of,10.1093/nsr/nwaa041,TRUE,10.1093/nsr/nwaa041
bioRxiv,10.1101/2020.10.15.341479,2020-10-16,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.07.029090,2020-04-09,is_preprint_of,10.1016/j.onehlt.2020.100164,TRUE,10.1016/j.onehlt.2020.100164
bioRxiv,10.1101/2020.06.22.165464,2020-06-23,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.05.026633,2020-04-14,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.11.198770,2020-07-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.21.107870,2020-05-21,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.11.375972,2020-11-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.14.092767,2020-05-14,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.31.270736,2020-08-31,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.09.086165,2020-05-09,is_preprint_of,10.1016/j.jtos.2020.06.007,TRUE,10.1016/j.jtos.2020.06.007
bioRxiv,10.1101/2020.05.08.084384,2020-05-08,is_preprint_of,10.1016/j.bbrep.2020.100798,TRUE,10.1016/j.bbrep.2020.100798
bioRxiv,10.1101/2020.05.28.122374,2020-05-29,is_preprint_of,10.1097/j.pain.0000000000002051,TRUE,10.1097/j.pain.0000000000002051
bioRxiv,10.1101/2020.04.06.028647,2020-04-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.24.050534,2020-04-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.13.094714,2020-05-14,NA,NA,TRUE,10.3390/jcm9113743
bioRxiv,10.1101/2020.04.23.057042,2020-04-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.13.337584,2020-10-14,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.06.370916,2020-11-06,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.11.089045,2020-05-11,is_preprint_of,10.1016/j.celrep.2020.108199,TRUE,10.1016/j.celrep.2020.108199
bioRxiv,10.1101/2020.04.29.068890,2020-04-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.30.227470,2020-07-30,is_preprint_of,10.1038/s41541-020-00243-x,TRUE,10.1038/s41541-020-00243-x
bioRxiv,10.1101/2020.04.14.028407,2020-04-16,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.15.339473,2020-10-16,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.26.173567,2020-06-26,is_preprint_of,10.1007/s42558-020-00026-3,TRUE,10.1007/s42558-020-00026-3
bioRxiv,10.1101/2020.07.24.217570,2020-07-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.24.298851,2020-09-25,is_preprint_of,10.1093/nar/gkaa941,TRUE,10.1093/nar/gkaa941
bioRxiv,10.1101/2020.10.17.344002,2020-10-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.08.982637,2020-03-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.18.099507,2020-05-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.26.152520,2020-06-26,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.10.144188,2020-06-10,is_preprint_of,10.3390/v12070779,TRUE,10.3390/v12070779
bioRxiv,10.1101/2020.09.13.276923,2020-09-13,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.22.111187,2020-05-23,is_preprint_of,10.1172/JCI140766,TRUE,10.1172/jci140766
bioRxiv,10.1101/2020.06.15.134403,2020-06-16,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.05.135194,2020-06-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.27.354563,2020-10-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.20.391193,2020-11-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.03.972133,2020-03-08,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.19.390187,2020-11-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.21.305698,2020-09-22,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.26.267997,2020-08-26,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.08.084103,2020-05-08,is_preprint_of,10.24450/journals/abrep.2020.e186,TRUE,10.24450/journals/abrep.2020.e186
bioRxiv,10.1101/2020.07.09.195008,2020-07-09,is_preprint_of,10.1371/journal.pntd.0008570,TRUE,10.1371/journal.pntd.0008570
bioRxiv,10.1101/2020.06.26.173146,2020-06-26,is_preprint_of,10.1371/journal.pone.0235943,TRUE,10.1371/journal.pone.0235943
bioRxiv,10.1101/2020.07.15.176933,2020-07-15,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.07.191247,2020-07-07,NA,NA,TRUE,10.1371/journal.pone.0236304
bioRxiv,10.1101/2020.03.19.998724,2020-03-21,is_preprint_of,10.1038/s41467-020-18575-6,TRUE,10.1038/s41467-020-18575-6
bioRxiv,10.1101/2020.11.06.369439,2020-11-06,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.29.226761,2020-07-29,is_preprint_of,10.1002/ange.202010316,TRUE,10.1002/ange.202010316
bioRxiv,10.1101/2020.07.02.183764,2020-07-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.02.10.936898,2020-02-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.04.077826,2020-05-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.24.311704,2020-09-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.12.335513,2020-10-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.25.115774,2020-05-26,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.05.238188,2020-08-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.11.245100,2020-08-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.13.295691,2020-09-14,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.12.05.409821,2020-12-06,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.30.361873,2020-10-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.28.400671,2020-11-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.02.130161,2020-06-02,is_preprint_of,10.1038/s41467-020-18174-5,TRUE,10.1038/s41467-020-18174-5
bioRxiv,10.1101/2020.07.26.222232,2020-07-27,is_preprint_of,10.1016/j.celrep.2020.108274,TRUE,10.1016/j.celrep.2020.108274
bioRxiv,10.1101/2020.06.20.163162,2020-06-21,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.16.385401,2020-11-16,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.26.222257,2020-07-27,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.15.205211,2020-07-15,is_preprint_of,10.1002/adma.202004901,TRUE,10.1002/adma.202004901
bioRxiv,10.1101/2020.03.25.008805,2020-03-26,is_preprint_of,10.1038/s41598-020-75912-x,TRUE,10.1038/s41598-020-75912-x
bioRxiv,10.1101/2020.05.02.074021,2020-05-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.17.377432,2020-11-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.18.210161,2020-07-19,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.21.299776,2020-09-22,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.02.25.963546,2020-02-27,is_preprint_of,10.1016/j.vaccine.2020.04.034,TRUE,10.1016/j.vaccine.2020.04.034
bioRxiv,10.1101/2020.08.19.258244,2020-08-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.03.15.992818,2020-03-17,is_preprint_of,10.1093/ve/veaa027,TRUE,10.1093/ve/veaa027
bioRxiv,10.1101/2020.11.17.385500,2020-11-17,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.18.344622,2020-10-19,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.18.388934,2020-11-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.29.067728,2020-04-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.28.118059,2020-05-29,is_preprint_of,10.1038/s41467-020-19258-y,TRUE,10.1038/s41467-020-19258-y
bioRxiv,10.1101/2020.06.23.167544,2020-06-23,is_preprint_of,10.1021/acsptsci.0c00106,TRUE,10.1021/acsptsci.0c00106
bioRxiv,10.1101/2020.06.14.150862,2020-06-15,is_preprint_of,10.1016/j.antiviral.2020.104882,TRUE,10.1016/j.antiviral.2020.104882
bioRxiv,10.1101/2020.11.12.380816,2020-11-13,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.24.311845,2020-09-24,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.31.126615,2020-06-04,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.18.304493,2020-09-19,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.26.115790,2020-05-26,NA,NA,FALSE,NA
