source,identifier,posted_date,is_preprint_of,preprint_of_doi
Authorea,10.22541/au.158878871.12257772,2020-05-06,NA,NA
Authorea,10.22541/au.158872310.09789807,2020-05-05,NA,NA
Authorea,10.22541/au.159741658.86367851,2020-08-14,NA,NA
Authorea,10.22541/au.159969834.49964606,2020-09-10,NA,NA
Authorea,10.22541/au.160654691.18675261/v1,2020-11-28,NA,NA
Authorea,10.22541/au.161322882.29843820/v1,2021-02-13,NA,NA
Authorea,10.22541/au.158880210.04246573,2020-05-06,NA,NA
Authorea,10.22541/au.160631468.83127386/v1,2020-11-25,NA,NA
Authorea,10.22541/au.160891885.58128798/v1,2020-12-25,NA,NA
Authorea,10.22541/au.159559746.62867088,2020-07-24,NA,NA
Authorea,10.22541/au.159894372.27318515,2020-09-01,NA,NA
Authorea,10.22541/au.161542785.55958592/v1,2021-03-11,NA,NA
Authorea,10.22541/au.160157553.33111289,2020-10-01,NA,NA
Authorea,10.22541/au.160709131.16697113/v1,2020-12-04,NA,NA
Authorea,10.22541/au.159076950.07819469,2020-05-29,NA,NA
Authorea,10.22541/au.161539677.73493964/v1,2021-03-10,NA,NA
Authorea,10.22541/au.159423187.79355238,2020-07-08,NA,NA
Authorea,10.22541/au.160275979.91541585/v1,2020-10-15,NA,NA
Authorea,10.22541/au.160495476.61426369/v1,2020-11-09,NA,NA
Authorea,10.22541/au.160391885.55654525/v1,2020-10-28,NA,NA
Authorea,10.22541/au.158990737.70211874,2020-05-19,NA,NA
Authorea,10.22541/au.160573569.91884563/v1,2020-11-18,NA,NA
Authorea,10.22541/au.161659337.75219679/v1,2021-03-24,NA,NA
Authorea,10.22541/au.158921558.89142213,2020-05-11,NA,NA
Authorea,10.22541/au.159294169.97530983,2020-06-23,NA,NA
Authorea,10.22541/au.159170773.34049082,2020-06-09,NA,NA
Authorea,10.22541/au.159131062.20905011,2020-06-04,NA,NA
Authorea,10.22541/au.159542954.41887883,2020-07-22,NA,NA
Authorea,10.22541/au.158990738.86709492,2020-05-19,NA,NA
Authorea,10.22541/au.158880275.58007464,2020-05-06,NA,NA
Authorea,10.22541/au.159986554.47692678,2020-09-11,NA,NA
Authorea,10.22541/au.158930969.93127851,2020-05-12,NA,NA
Authorea,10.22541/au.161271322.25634280/v1,2021-02-07,NA,NA
Authorea,10.22541/au.160491846.63265573/v1,2020-11-09,NA,NA
Authorea,10.22541/au.160439962.25324371/v1,2020-11-03,NA,NA
Authorea,10.22541/au.160253855.53010053/v1,2020-10-12,NA,NA
Authorea,10.22541/au.159301689.99888105,2020-06-24,NA,NA
Authorea,10.22541/au.160157379.92719550,2020-10-01,NA,NA
Authorea,10.22541/au.158990707.76386302,2020-05-19,NA,NA
Authorea,10.22541/au.160865954.47397443/v1,2020-12-22,NA,NA
Authorea,10.22541/au.161072681.17449732/v1,2021-01-15,NA,NA
Authorea,10.22541/au.159164638.85113749,2020-06-08,NA,NA
Authorea,10.22541/au.160253844.43876548/v1,2020-10-12,NA,NA
Authorea,10.22541/au.158888269.99516371,2020-05-07,NA,NA
Authorea,10.22541/au.160773180.07642887/v1,2020-12-12,NA,NA
Authorea,10.22541/au.161035233.37590270/v1,2021-01-11,NA,NA
Authorea,10.22541/au.159294210.03412860,2020-06-23,NA,NA
Authorea,10.22541/au.159730575.57910143,2020-08-13,NA,NA
Authorea,10.22541/au.159855498.83102902,2020-08-27,NA,NA
Authorea,10.22541/au.159862963.38790118,2020-08-28,NA,NA
Authorea,10.22541/au.159103584.43919710,2020-06-01,NA,NA
Authorea,10.22541/au.159060406.62926017,2020-05-27,NA,NA
Authorea,10.22541/au.160133611.16772830,2020-09-28,NA,NA
Authorea,10.22541/au.159043142.20201327,2020-05-25,NA,NA
Authorea,10.22541/au.160651442.26328444/v1,2020-11-27,NA,NA
Authorea,10.22541/au.159413095.53207251,2020-07-07,NA,NA
Authorea,10.22541/au.159363317.74148611,2020-07-01,NA,NA
Authorea,10.22541/au.161133677.79866377/v1,2021-01-22,NA,NA
Authorea,10.22541/au.159309960.08923226,2020-06-25,NA,NA
Authorea,10.22541/au.160396940.06060173/v1,2020-10-29,NA,NA
Authorea,10.22541/au.159542509.98333661,2020-07-22,NA,NA
Authorea,10.22541/au.160349176.67670206/v1,2020-10-23,NA,NA
Authorea,10.22541/au.159249626.66882930,2020-06-18,NA,NA
Authorea,10.22541/au.160968257.71855237/v1,2021-01-03,NA,NA
Authorea,10.22541/au.161572992.20220722/v1,2021-03-14,NA,NA
Authorea,10.22541/au.160614382.20766935/v1,2020-11-23,NA,NA
Authorea,10.22541/au.160439256.65774306/v1,2020-11-03,NA,NA
Authorea,10.22541/au.159467786.65145375,2020-07-13,NA,NA
Authorea,10.22541/au.160916141.19338451/v1,2020-12-28,NA,NA
Authorea,10.22541/au.159110364.44447300,2020-06-02,NA,NA
Authorea,10.22541/au.159164712.26678297,2020-06-08,NA,NA
Authorea,10.22541/au.158938520.09115828,2020-05-13,NA,NA
Authorea,10.22541/au.158894536.67758964,2020-05-08,NA,NA
Authorea,10.22541/au.159724507.79126312,2020-08-12,NA,NA
Authorea,10.22541/au.160551786.66158359/v1,2020-11-16,NA,NA
Authorea,10.22541/au.159188496.63290789,2020-06-11,NA,NA
Authorea,10.22541/au.159551272.27480372,2020-07-23,NA,NA
Authorea,10.22541/au.158871576.67742806,2020-05-05,NA,NA
Authorea,10.22541/au.160029803.32072850,2020-09-16,NA,NA
Authorea,10.22541/au.161254830.00326269/v1,2021-02-05,NA,NA
Authorea,10.22541/au.161738493.38184452/v1,2021-04-02,NA,NA
Authorea,10.22541/au.159863560.01026689,2020-08-28,NA,NA
Authorea,10.22541/au.159000337.72124559,2020-05-20,NA,NA
Authorea,10.22541/au.159110382.24488715,2020-06-02,NA,NA
Authorea,10.22541/au.160960281.18431735/v1,2021-01-02,NA,NA
Authorea,10.22541/au.159069201.16257121,2020-05-28,NA,NA
Authorea,10.22541/au.160435613.36560227/v1,2020-11-02,NA,NA
Authorea,10.22541/au.159985891.15707820,2020-09-11,NA,NA
Authorea,10.22541/au.159060403.34964596,2020-05-27,NA,NA
Authorea,10.22541/au.160098047.75527985,2020-09-24,NA,NA
Authorea,10.22541/au.160952242.21038379/v1,2021-01-01,NA,NA
Authorea,10.22541/au.160769266.63428422/v1,2020-12-11,NA,NA
Authorea,10.22541/au.159363308.88688214,2020-07-01,NA,NA
Authorea,10.22541/au.159586089.96767674,2020-07-27,NA,NA
Authorea,10.22541/au.159493340.01412562,2020-07-16,NA,NA
Authorea,10.22541/au.159284903.30515543,2020-06-22,NA,NA
Authorea,10.22541/au.161206345.51310028/v1,2021-01-31,NA,NA
Authorea,10.22541/au.159765486.65315820,2020-08-17,NA,NA
Authorea,10.22541/au.160133248.87791073,2020-09-28,NA,NA
Authorea,10.22541/au.159242009.91392594,2020-06-17,NA,NA
Authorea,10.22541/au.161743124.43367596/v1,2021-04-03,NA,NA
Authorea,10.22541/au.160924323.38351594/v1,2020-12-29,NA,NA
Authorea,10.22541/au.158920731.11604463,2020-05-11,NA,NA
Authorea,10.22541/au.159569103.37109215,2020-07-25,NA,NA
Authorea,10.22541/au.158888305.59818836,2020-05-07,NA,NA
Authorea,10.22541/au.159285441.19349197,2020-06-22,NA,NA
Authorea,10.22541/au.159015486.60261876,2020-05-22,NA,NA
Authorea,10.22541/au.159551290.06464831,2020-07-23,NA,NA
Authorea,10.22541/au.159493300.08885721,2020-07-16,NA,NA
Authorea,10.22541/au.160010811.19641504,2020-09-14,NA,NA
Authorea,10.22541/au.159964043.30706147,2020-09-09,NA,NA
Authorea,10.22541/au.159050444.47916114,2020-05-26,NA,NA
Authorea,10.22541/au.158955371.14730642,2020-05-15,NA,NA
Authorea,10.22541/au.159284811.17251473,2020-06-22,NA,NA
Authorea,10.22541/au.158861365.54417186,2020-05-04,NA,NA
Authorea,10.22541/au.159415036.69868973,2020-07-07,NA,NA
Authorea,10.22541/au.159248855.50954700,2020-06-18,NA,NA
Authorea,10.22541/au.159242078.89654740,2020-06-17,NA,NA
Authorea,10.22541/au.159819187.74024508,2020-08-23,NA,NA
Authorea,10.22541/au.159966727.72303876,2020-09-09,NA,NA
Authorea,10.22541/au.159198700.09159800,2020-06-12,NA,NA
Authorea,10.22541/au.158999378.87800067,2020-05-20,NA,NA
Authorea,10.22541/au.160133700.02797525,2020-09-28,NA,NA
Authorea,10.22541/au.159136792.22773491,2020-06-05,NA,NA
Authorea,10.22541/au.159359235.55717503,2020-07-01,NA,NA
Authorea,10.22541/au.159415252.28995173,2020-07-07,NA,NA
Authorea,10.22541/au.159007748.88776078,2020-05-21,NA,NA
Authorea,10.22541/au.159198691.16920376,2020-06-12,NA,NA
Authorea,10.22541/au.159526950.09272497,2020-07-20,NA,NA
Authorea,10.22541/au.158920609.98368523,2020-05-11,NA,NA
Authorea,10.22541/au.160916124.47621341/v1,2020-12-28,NA,NA
Authorea,10.22541/au.159958096.66484101,2020-09-08,NA,NA
Authorea,10.22541/au.161540743.38157678/v1,2021-03-10,NA,NA
Authorea,10.22541/au.160513366.66548471/v1,2020-11-11,NA,NA
Authorea,10.22541/au.160391567.77471321/v1,2020-10-28,NA,NA
Authorea,10.22541/au.159318501.10224183,2020-06-26,NA,NA
Authorea,10.22541/au.159768368.81096890,2020-08-17,NA,NA
Authorea,10.22541/au.159420275.51478982,2020-07-08,NA,NA
Authorea,10.22541/au.160347794.45407178/v1,2020-10-23,NA,NA
Authorea,10.22541/au.160232770.06850780/v1,2020-10-10,NA,NA
Authorea,10.22541/au.159188466.66960575,2020-06-11,NA,NA
Authorea,10.22541/au.159986268.85551373,2020-09-11,NA,NA
Authorea,10.22541/au.160284639.90933317/v1,2020-10-16,NA,NA
Authorea,10.22541/au.159118771.11841404,2020-06-03,NA,NA
Authorea,10.22541/au.158894488.84255811,2020-05-08,NA,NA
Authorea,10.22541/au.158981150.08579364,2020-05-18,NA,NA
Authorea,10.22541/au.159164078.84157208,2020-06-08,NA,NA
Authorea,10.22541/au.159112156.68517156,2020-06-02,NA,NA
Authorea,10.22541/au.160674527.74156706/v1,2020-11-30,NA,NA
Authorea,10.22541/au.161661725.56823358/v1,2021-03-24,NA,NA
Authorea,10.22541/au.159294205.58908156,2020-06-23,NA,NA
Authorea,10.22541/au.160042525.57491290,2020-09-18,NA,NA
Authorea,10.22541/au.160218226.66230054/v1,2020-10-08,NA,NA
Authorea,10.22541/au.160253792.25165912/v1,2020-10-12,NA,NA
Authorea,10.22541/au.161218256.65539555/v1,2021-02-01,NA,NA
Authorea,10.22541/au.159103622.29713034,2020-06-01,NA,NA
Authorea,10.22541/au.159583338.89055001,2020-07-27,NA,NA
Authorea,10.22541/au.160193295.52132177/v1,2020-10-05,NA,NA
Authorea,10.22541/au.159602542.21177204,2020-07-29,NA,NA
Authorea,10.22541/au.159301708.83920586,2020-06-24,NA,NA
Authorea,10.22541/au.159819251.15103483,2020-08-23,NA,NA
Authorea,10.22541/au.159136796.67564669,2020-06-05,NA,NA
Authorea,10.22541/au.158920598.85835946,2020-05-11,NA,NA
Authorea,10.22541/au.160199728.85986668/v1,2020-10-06,NA,NA
Authorea,10.22541/au.159528371.18632552,2020-07-20,NA,NA
Authorea,10.22541/au.161360746.67677725/v1,2021-02-18,NA,NA
Authorea,10.22541/au.159646066.66986070,2020-08-03,NA,NA
Authorea,10.22541/au.159060399.92727767,2020-05-27,NA,NA
Authorea,10.22541/au.161689510.05966705/v1,2021-03-28,NA,NA
Authorea,10.22541/au.159200635.52487940,2020-06-12,NA,NA
Authorea,10.22541/au.159050471.18556211,2020-05-26,NA,NA
Authorea,10.22541/au.160071264.40565113,2020-09-21,NA,NA
Authorea,10.22541/au.160091445.58861962,2020-09-24,NA,NA
Authorea,10.22541/au.159285595.52316318,2020-06-22,NA,NA
Authorea,10.22541/au.160645684.48145888/v1,2020-11-27,NA,NA
Authorea,10.22541/au.159594812.25921778,2020-07-28,NA,NA
Authorea,10.22541/au.160545601.19384505/v1,2020-11-15,NA,NA
Authorea,10.22541/au.160391060.01177782/v1,2020-10-28,NA,NA
Authorea,10.22541/au.161044033.35250019/v1,2021-01-12,NA,NA
Authorea,10.22541/au.160039562.25271560,2020-09-18,NA,NA
Authorea,10.22541/au.161668243.35142344/v1,2021-03-25,NA,NA
Authorea,10.22541/au.160654690.05977025/v1,2020-11-28,NA,NA
Authorea,10.22541/au.160157453.38766200,2020-10-01,NA,NA
Authorea,10.22541/au.159285564.49698842,2020-06-22,NA,NA
Authorea,10.22541/au.159133511.14301633,2020-06-05,NA,NA
Authorea,10.22541/au.159611484.40009356,2020-07-30,NA,NA
Authorea,10.22541/au.159646803.37283562,2020-08-03,NA,NA
Authorea,10.22541/au.159181165.56346722,2020-06-10,NA,NA
Authorea,10.22541/au.159170714.47052269,2020-06-09,NA,NA
Authorea,10.22541/au.160562672.26680417/v1,2020-11-17,NA,NA
Authorea,10.22541/au.161397429.96737006/v1,2021-02-22,NA,NA
Authorea,10.22541/au.158871582.23266273,2020-05-05,NA,NA
Authorea,10.22541/au.159422583.36729054,2020-07-08,NA,NA
Authorea,10.22541/au.160157573.37572063,2020-10-01,NA,NA
Authorea,10.22541/au.160029800.02805523,2020-09-16,NA,NA
Authorea,10.22541/au.160071287.74177510,2020-09-21,NA,NA
Authorea,10.22541/au.159007761.13746208,2020-05-21,NA,NA
Authorea,10.22541/au.159654482.20228825,2020-08-04,NA,NA
Authorea,10.22541/au.158981308.81626690,2020-05-18,NA,NA
Authorea,10.22541/au.159294229.98801387,2020-06-23,NA,NA
Authorea,10.22541/au.161670421.11574183/v1,2021-03-25,NA,NA
Authorea,10.22541/au.159282363.35309175,2020-06-22,NA,NA
Authorea,10.22541/au.159445996.69685778,2020-07-11,NA,NA
Authorea,10.22541/au.158981508.88822752,2020-05-18,NA,NA
Authorea,10.22541/au.161452914.41833841/v1,2021-02-28,NA,NA
Authorea,10.22541/au.158991652.25125625,2020-05-19,NA,NA
Authorea,10.22541/au.161738512.21953226/v1,2021-04-02,NA,NA
Authorea,10.22541/au.158870183.34428209,2020-05-05,NA,NA
Authorea,10.22541/au.160433463.39364896/v1,2020-11-02,NA,NA
Authorea,10.22541/au.159373152.22087295,2020-07-02,NA,NA
Authorea,10.22541/au.160098501.14034083,2020-09-24,NA,NA
Authorea,10.22541/au.160372888.84366750/v1,2020-10-26,NA,NA
Authorea,10.22541/au.161368477.78159414/v1,2021-02-18,NA,NA
Authorea,10.22541/au.159008098.82988208,2020-05-21,NA,NA
Authorea,10.22541/au.159335812.21543995,2020-06-28,NA,NA
Authorea,10.22541/au.159301711.14255380,2020-06-24,NA,NA
Authorea,10.22541/au.160588470.04232396/v1,2020-11-20,NA,NA
Authorea,10.22541/au.159170737.79364492,2020-06-09,NA,NA
Authorea,10.22541/au.161426352.23640908/v1,2021-02-25,NA,NA
Authorea,10.22541/au.159309931.19991244,2020-06-25,NA,NA
Authorea,10.22541/au.159064562.26696589,2020-05-28,NA,NA
Authorea,10.22541/au.160028406.69739457,2020-09-16,NA,NA
Authorea,10.22541/au.160193187.70280869/v1,2020-10-05,NA,NA
Authorea,10.22541/au.158991690.02815207,2020-05-19,NA,NA
Authorea,10.22541/au.158979986.63783216,2020-05-18,NA,NA
Authorea,10.22541/au.160091431.15743661,2020-09-24,NA,NA
Authorea,10.22541/au.160672869.91140335/v1,2020-11-30,NA,NA
Authorea,10.22541/au.159620967.71557506,2020-07-31,NA,NA
Authorea,10.22541/au.159136755.51128116,2020-06-05,NA,NA
Authorea,10.22541/au.159413561.14757083,2020-07-07,NA,NA
Authorea,10.22541/au.159069152.25226109,2020-05-28,NA,NA
Authorea,10.22541/au.160659191.19443051/v1,2020-11-28,NA,NA
Authorea,10.22541/au.159741612.23393264,2020-08-14,NA,NA
Authorea,10.22541/au.160406285.55634865/v1,2020-10-30,NA,NA
Authorea,10.22541/au.160157519.98955786,2020-10-01,NA,NA
Authorea,10.22541/au.159620895.51147919,2020-07-31,NA,NA
Authorea,10.22541/au.160646408.88851236/v1,2020-11-27,NA,NA
Authorea,10.22541/au.158880310.07889665,2020-05-06,NA,NA
Authorea,10.22541/au.158872324.45525940,2020-05-06,NA,NA
Authorea,10.22541/au.160941731.13277490/v1,2020-12-31,NA,NA
Authorea,10.22541/au.161346590.09217290/v1,2021-02-16,NA,NA
Authorea,10.22541/au.159301726.68662928,2020-06-24,NA,NA
Authorea,10.22541/au.159284820.02848570,2020-06-22,NA,NA
Authorea,10.22541/au.160259611.11184696/v1,2020-10-13,NA,NA
Authorea,10.22541/au.159863239.99285682,2020-08-28,NA,NA
Authorea,10.22541/au.159526954.40904880,2020-07-20,NA,NA
Authorea,10.22541/au.158871586.63771460,2020-05-05,NA,NA
Authorea,10.22541/au.158920561.18059266,2020-05-11,NA,NA
Authorea,10.22541/au.159819150.00797431,2020-08-23,NA,NA
Authorea,10.22541/au.158921580.05339522,2020-05-11,NA,NA
Authorea,10.22541/au.159792847.79369126,2020-08-20,NA,NA
Authorea,10.22541/au.159231481.13523668,2020-06-16,NA,NA
Authorea,10.22541/au.158888214.47607973,2020-05-07,NA,NA
Authorea,10.22541/au.160275972.26816348/v1,2020-10-15,NA,NA
Authorea,10.22541/au.159076908.83453832,2020-05-29,NA,NA
Authorea,10.22541/au.161354289.95968971/v1,2021-02-17,NA,NA
Authorea,10.22541/au.159646763.39281913,2020-08-03,NA,NA
Authorea,10.22541/au.159181187.75201316,2020-06-10,NA,NA
Authorea,10.22541/au.159318490.03473024,2020-06-26,NA,NA
Authorea,10.22541/au.158990374.48754251,2020-05-19,NA,NA
Authorea,10.22541/au.159493382.24256014,2020-07-16,NA,NA
Authorea,10.22541/au.159969792.23603385,2020-09-10,NA,NA
Authorea,10.22541/au.161578220.05282504/v1,2021-03-15,NA,NA
Authorea,10.22541/au.160371410.07341991/v1,2020-10-26,NA,NA
Authorea,10.22541/au.161276547.71809274/v1,2021-02-08,NA,NA
Authorea,10.22541/au.160545063.36927461/v1,2020-11-15,NA,NA
Authorea,10.22541/au.159957151.19648620,2020-09-08,NA,NA
Authorea,10.22541/au.159594008.85699595,2020-07-28,NA,NA
Authorea,10.22541/au.160673226.66738260/v1,2020-11-30,NA,NA
Authorea,10.22541/au.158954591.13315226,2020-05-15,NA,NA
Authorea,10.22541/au.159164076.65659447,2020-06-08,NA,NA
Authorea,10.22541/au.158880295.56760884,2020-05-06,NA,NA
Authorea,10.22541/au.159863487.72300098,2020-08-28,NA,NA
Authorea,10.22541/au.159103675.59631566,2020-06-01,NA,NA
Authorea,10.22541/au.159301798.84401402,2020-06-24,NA,NA
Authorea,10.22541/au.158888265.53194913,2020-05-07,NA,NA
Authorea,10.22541/au.159863413.32498586,2020-08-28,NA,NA
Authorea,10.22541/au.161405241.15229546/v1,2021-02-23,NA,NA
Authorea,10.22541/au.159050279.91041958,2020-05-26,NA,NA
Authorea,10.22541/au.158938622.21516968,2020-05-13,NA,NA
Authorea,10.22541/au.160864749.98515273/v2,2020-12-22,NA,NA
Authorea,10.22541/au.158999385.53747279,2020-05-20,NA,NA
Authorea,10.22541/au.159415142.20637179,2020-07-07,NA,NA
Authorea,10.22541/au.158861377.70119774,2020-05-04,NA,NA
Authorea,10.22541/au.158888269.90559753,2020-05-07,NA,NA
Authorea,10.22541/au.159986340.07540965,2020-09-11,NA,NA
Authorea,10.22541/au.158949191.12805677,2020-05-14,NA,NA
Authorea,10.22541/au.160456334.44354879/v1,2020-11-05,NA,NA
Authorea,10.22541/au.160803818.83072370/v1,2020-12-15,NA,NA
Authorea,10.22541/au.158999394.47881038,2020-05-20,NA,NA
Authorea,10.22541/au.159415123.31301888,2020-07-07,NA,NA
Authorea,10.22541/au.159611489.95884381,2020-07-30,NA,NA
Authorea,10.22541/au.159818472.29796763,2020-08-23,NA,NA
Authorea,10.22541/au.161371891.17859762/v1,2021-02-19,NA,NA
Authorea,10.22541/au.160349190.03481834/v1,2020-10-23,NA,NA
Authorea,10.22541/au.159674853.37745616,2020-08-06,NA,NA
Authorea,10.22541/au.159060746.65318597,2020-05-27,NA,NA
Authorea,10.22541/au.161751959.93505697/v1,2021-04-04,NA,NA
Authorea,10.22541/au.161380936.65092255/v1,2021-02-20,NA,NA
Authorea,10.22541/au.158809538.82380206/v2,2020-05-29,NA,NA
Authorea,10.22541/au.161751870.05955420/v1,2021-04-04,NA,NA
Authorea,10.22541/au.159525385.56685362,2020-07-20,NA,NA
Authorea,10.22541/au.159414884.48174132,2020-07-07,NA,NA
Authorea,10.22541/au.160646412.24677267/v1,2020-11-27,NA,NA
Authorea,10.22541/au.161429217.72966648/v1,2021-02-25,NA,NA
Authorea,10.22541/au.160578736.68156883/v1,2020-11-19,NA,NA
Authorea,10.22541/au.159284830.07925973,2020-06-22,NA,NA
Authorea,10.22541/au.158921800.09912409,2020-05-11,NA,NA
Authorea,10.22541/au.158880106.60883758,2020-05-06,NA,NA
Authorea,10.22541/au.160460110.06000903/v1,2020-11-05,NA,NA
Authorea,10.22541/au.159493393.30759606,2020-07-16,NA,NA
Authorea,10.22541/au.158879110.05334339,2020-05-06,NA,NA
Authorea,10.22541/au.160326721.18910529/v1,2020-10-21,NA,NA
Authorea,10.22541/au.158981353.35983995,2020-05-18,NA,NA
Authorea,10.22541/au.160776187.78854537/v1,2020-12-12,NA,NA
Authorea,10.22541/au.159569221.17918499,2020-07-25,NA,NA
Authorea,10.22541/au.158921774.44895613,2020-05-11,NA,NA
Authorea,10.22541/au.158879406.61360122,2020-05-06,NA,NA
Authorea,10.22541/au.159569114.47236055,2020-07-25,NA,NA
Authorea,10.22541/au.159249003.35093394,2020-06-18,NA,NA
Authorea,10.22541/au.161251060.08737482/v1,2021-02-05,NA,NA
Authorea,10.22541/au.160278619.95921260/v1,2020-10-15,NA,NA
Authorea,10.22541/au.159038462.24049650,2020-05-25,NA,NA
Authorea,10.22541/au.159136822.26388202,2020-06-05,NA,NA
Authorea,10.22541/au.158880286.66355611,2020-05-06,NA,NA
Authorea,10.22541/au.159654499.92297223,2020-08-04,NA,NA
Authorea,10.22541/au.160331979.96608863/v1,2020-10-21,NA,NA
Authorea,10.22541/au.161751841.10388526/v1,2021-04-04,NA,NA
Authorea,10.22541/au.161089196.63281299/v1,2021-01-17,NA,NA
Authorea,10.22541/au.158921601.18194161,2020-05-11,NA,NA
Authorea,10.22541/au.159170711.16292378,2020-06-09,NA,NA
Authorea,10.22541/au.159285570.04432555,2020-06-22,NA,NA
Authorea,10.22541/au.160397366.64581136/v1,2020-10-29,NA,NA
Authorea,10.22541/au.159076925.51509238,2020-05-29,NA,NA
Authorea,10.22541/au.159473165.57487524,2020-07-14,NA,NA
Authorea,10.22541/au.161787599.99994201/v1,2021-04-08,NA,NA
Authorea,10.22541/au.161282652.24050068/v1,2021-02-08,NA,NA
Authorea,10.22541/au.158938579.96973780,2020-05-13,NA,NA
Authorea,10.22541/au.159595382.25283165,2020-07-28,NA,NA
Authorea,10.22541/au.159373181.11051834,2020-07-02,NA,NA
Authorea,10.22541/au.159724510.04326706,2020-08-12,NA,NA
Authorea,10.22541/au.159103628.81491592,2020-06-01,NA,NA
Authorea,10.22541/au.159909010.09289159,2020-09-02,NA,NA
Authorea,10.22541/au.158991697.70023176,2020-05-19,NA,NA
Authorea,10.22541/au.159363340.04088383,2020-07-01,NA,NA
Authorea,10.22541/au.159069398.87906649,2020-05-28,NA,NA
Authorea,10.22541/au.161009186.61903482/v1,2021-01-08,NA,NA
Authorea,10.22541/au.160133530.08134398,2020-09-28,NA,NA
Authorea,10.22541/au.161622220.05597863/v1,2021-03-20,NA,NA
Authorea,10.22541/au.158880240.00304700,2020-05-06,NA,NA
Authorea,10.22541/au.160571540.02057981/v1,2020-11-18,NA,NA
Authorea,10.22541/au.160517176.69072484/v1,2020-11-12,NA,NA
Authorea,10.22541/au.160873142.24986879/v1,2020-12-23,NA,NA
Authorea,10.22541/au.160010865.58124057,2020-09-14,NA,NA
Authorea,10.22541/au.159188377.79993131,2020-06-11,NA,NA
Authorea,10.22541/au.158955330.06881415,2020-05-15,NA,NA
Authorea,10.22541/au.158880283.34604328,2020-05-06,NA,NA
Authorea,10.22541/au.160854745.53720272/v1,2020-12-21,NA,NA
Authorea,10.22541/au.160503140.07882881/v1,2020-11-10,NA,NA
Authorea,10.22541/au.161693906.65464346/v1,2021-03-28,NA,NA
Authorea,10.22541/au.160637401.18473878/v1,2020-11-26,NA,NA
Authorea,10.22541/au.160513358.82993050/v1,2020-11-11,NA,NA
Authorea,10.22541/au.160331961.19008241/v1,2020-10-21,NA,NA
Authorea,10.22541/au.158879031.17693921,2020-05-06,NA,NA
Authorea,10.22541/au.161230839.90084658/v1,2021-02-02,NA,NA
Authorea,10.22541/au.160801729.90427405/v1,2020-12-15,NA,NA
Authorea,10.22541/au.161711503.33919863/v1,2021-03-30,NA,NA
Authorea,10.22541/au.160464066.65454012/v1,2020-11-06,NA,NA
