source,identifier,posted_date,is_preprint_of,preprint_of_doi,published_date,published_journal,published_publisher,delay_in_days
Authorea,10.22541/au.159741658.86367851,2020-08-14,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159969834.49964606,2020-09-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880210.04246573,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159559746.62867088,2020-07-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159894372.27318515,2020-09-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160157553.33111289,2020-10-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159076950.07819469,2020-05-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159423187.79355238,2020-07-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158990737.70211874,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158921558.89142213,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159294169.97530983,2020-06-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159170773.34049082,2020-06-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159131062.20905011,2020-06-04,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159542954.41887883,2020-07-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158990738.86709492,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880275.58007464,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159986554.47692678,2020-09-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158930969.93127851,2020-05-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159301689.99888105,2020-06-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160157379.92719550,2020-10-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158990707.76386302,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159164638.85113749,2020-06-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158888269.99516371,2020-05-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159294210.03412860,2020-06-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159730575.57910143,2020-08-13,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159855498.83102902,2020-08-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159862963.38790118,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159103584.43919710,2020-06-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159060406.62926017,2020-05-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160133611.16772830,2020-09-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159043142.20201327,2020-05-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159413095.53207251,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159363317.74148611,2020-07-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159309960.08923226,2020-06-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159542509.98333661,2020-07-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159249626.66882930,2020-06-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159467786.65145375,2020-07-13,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159110364.44447300,2020-06-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159164712.26678297,2020-06-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158938520.09115828,2020-05-13,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158894536.67758964,2020-05-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159724507.79126312,2020-08-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159188496.63290789,2020-06-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159551272.27480372,2020-07-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158871576.67742806,2020-05-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160029803.32072850,2020-09-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159863560.01026689,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159000337.72124559,2020-05-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159110382.24488715,2020-06-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159069201.16257121,2020-05-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159985891.15707820,2020-09-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159060403.34964596,2020-05-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160098047.75527985,2020-09-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159363308.88688214,2020-07-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159586089.96767674,2020-07-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159493340.01412562,2020-07-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159284903.30515543,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159765486.65315820,2020-08-17,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160133248.87791073,2020-09-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159242009.91392594,2020-06-17,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158920731.11604463,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159569103.37109215,2020-07-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158888305.59818836,2020-05-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159285441.19349197,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159015486.60261876,2020-05-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159551290.06464831,2020-07-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159493300.08885721,2020-07-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160010811.19641504,2020-09-14,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159964043.30706147,2020-09-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159050444.47916114,2020-05-26,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158955371.14730642,2020-05-15,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159284811.17251473,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158861365.54417186,2020-05-04,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159415036.69868973,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159248855.50954700,2020-06-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159242078.89654740,2020-06-17,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159819187.74024508,2020-08-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159966727.72303876,2020-09-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159198700.09159800,2020-06-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158999378.87800067,2020-05-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160133700.02797525,2020-09-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159136792.22773491,2020-06-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159359235.55717503,2020-07-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159415252.28995173,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159007748.88776078,2020-05-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159198691.16920376,2020-06-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159526950.09272497,2020-07-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158920609.98368523,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159958096.66484101,2020-09-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159318501.10224183,2020-06-26,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159768368.81096890,2020-08-17,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159420275.51478982,2020-07-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160232770.06850780/v1,2020-10-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159188466.66960575,2020-06-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159986268.85551373,2020-09-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159118771.11841404,2020-06-03,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158894488.84255811,2020-05-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158981150.08579364,2020-05-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159164078.84157208,2020-06-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159112156.68517156,2020-06-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159294205.58908156,2020-06-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160042525.57491290,2020-09-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160218226.66230054/v1,2020-10-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159103622.29713034,2020-06-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159583338.89055001,2020-07-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160193295.52132177/v1,2020-10-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159602542.21177204,2020-07-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159301708.83920586,2020-06-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159819251.15103483,2020-08-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159136796.67564669,2020-06-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158920598.85835946,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160199728.85986668/v1,2020-10-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159528371.18632552,2020-07-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159646066.66986070,2020-08-03,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159060399.92727767,2020-05-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159200635.52487940,2020-06-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159050471.18556211,2020-05-26,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160071264.40565113,2020-09-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160091445.58861962,2020-09-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159285595.52316318,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159594812.25921778,2020-07-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160039562.25271560,2020-09-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160157453.38766200,2020-10-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159285564.49698842,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159133511.14301633,2020-06-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159611484.40009356,2020-07-30,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159646803.37283562,2020-08-03,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159181165.56346722,2020-06-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159170714.47052269,2020-06-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158871582.23266273,2020-05-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159422583.36729054,2020-07-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160157573.37572063,2020-10-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160029800.02805523,2020-09-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160071287.74177510,2020-09-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159007761.13746208,2020-05-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159654482.20228825,2020-08-04,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158981308.81626690,2020-05-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159294229.98801387,2020-06-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159282363.35309175,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159445996.69685778,2020-07-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158981508.88822752,2020-05-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158991652.25125625,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158870183.34428209,2020-05-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159373152.22087295,2020-07-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160098501.14034083,2020-09-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159008098.82988208,2020-05-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159335812.21543995,2020-06-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159301711.14255380,2020-06-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159170737.79364492,2020-06-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159309931.19991244,2020-06-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159064562.26696589,2020-05-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160028406.69739457,2020-09-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160193187.70280869/v1,2020-10-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158991690.02815207,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158979986.63783216,2020-05-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160091431.15743661,2020-09-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159620967.71557506,2020-07-31,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159136755.51128116,2020-06-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159413561.14757083,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159069152.25226109,2020-05-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159741612.23393264,2020-08-14,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160157519.98955786,2020-10-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159620895.51147919,2020-07-31,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880310.07889665,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158872324.45525940,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159301726.68662928,2020-06-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159284820.02848570,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159863239.99285682,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159526954.40904880,2020-07-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158871586.63771460,2020-05-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158920561.18059266,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159819150.00797431,2020-08-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158921580.05339522,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159792847.79369126,2020-08-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159231481.13523668,2020-06-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158888214.47607973,2020-05-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159076908.83453832,2020-05-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159646763.39281913,2020-08-03,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159181187.75201316,2020-06-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159318490.03473024,2020-06-26,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158990374.48754251,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159493382.24256014,2020-07-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159969792.23603385,2020-09-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159957151.19648620,2020-09-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159594008.85699595,2020-07-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158954591.13315226,2020-05-15,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159164076.65659447,2020-06-08,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880295.56760884,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159863487.72300098,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159103675.59631566,2020-06-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159301798.84401402,2020-06-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158888265.53194913,2020-05-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159863413.32498586,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159050279.91041958,2020-05-26,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158938622.21516968,2020-05-13,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158999385.53747279,2020-05-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159415142.20637179,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158861377.70119774,2020-05-04,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158888269.90559753,2020-05-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159986340.07540965,2020-09-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158949191.12805677,2020-05-14,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158999394.47881038,2020-05-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159415123.31301888,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159611489.95884381,2020-07-30,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159818472.29796763,2020-08-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159674853.37745616,2020-08-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159060746.65318597,2020-05-27,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158809538.82380206/v2,2020-05-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159525385.56685362,2020-07-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159414884.48174132,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159284830.07925973,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158921800.09912409,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880106.60883758,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159493393.30759606,2020-07-16,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158879110.05334339,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158981353.35983995,2020-05-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159569221.17918499,2020-07-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158921774.44895613,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158879406.61360122,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159569114.47236055,2020-07-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159249003.35093394,2020-06-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159038462.24049650,2020-05-25,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159136822.26388202,2020-06-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880286.66355611,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159654499.92297223,2020-08-04,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158921601.18194161,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159170711.16292378,2020-06-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159285570.04432555,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159076925.51509238,2020-05-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159473165.57487524,2020-07-14,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158938579.96973780,2020-05-13,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159595382.25283165,2020-07-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159373181.11051834,2020-07-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159724510.04326706,2020-08-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159103628.81491592,2020-06-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159909010.09289159,2020-09-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158991697.70023176,2020-05-19,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159363340.04088383,2020-07-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159069398.87906649,2020-05-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160133530.08134398,2020-09-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880240.00304700,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160010865.58124057,2020-09-14,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159188377.79993131,2020-06-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158955330.06881415,2020-05-15,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880283.34604328,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158879031.17693921,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159799145.54759313,2020-08-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158879147.71633549,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159863553.37162687,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159985407.77264567,2020-09-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159986862.23157416,2020-09-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158921551.16243371,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160133592.26872328,2020-09-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159601863.30418988,2020-07-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159795391.12993390,2020-08-20,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159672642.29682726,2020-08-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159372941.11458494,2020-07-02,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158879251.11857143,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159430753.36373086,2020-07-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159301715.55885907,2020-06-24,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159183140.02820327,2020-06-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159249636.69357204,2020-06-18,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158880242.23658639,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158955363.30346358,2020-05-15,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158872328.86968358,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159602540.06483139,2020-07-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159103620.03614209,2020-06-01,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159819233.38980294,2020-08-23,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159076935.53810399,2020-05-29,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159863207.71383881,2020-08-28,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159620869.98069001,2020-07-31,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159413604.48894097,2020-07-07,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158920914.46240655,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158920571.17423682,2020-05-11,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159286119.92728253,2020-06-22,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159170766.61093111,2020-06-09,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159407078.80244158,2020-07-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159181137.78287140,2020-06-10,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159915064.47211533,2020-09-03,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.160070957.77490512,2020-09-21,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158871593.36900630,2020-05-05,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.159818934.48487719,2020-08-23,NA,NA,NA,NA,NA,NA
