source,identifier,posted_date,20201127_is_preprint_of,20201127_preprint_of_doi,20201024_is_preprint_of,20201024_preprint_of_doi
medRxiv,10.1101/2020.02.16.20023564,2020-02-18,NA,NA,is_preprint_of,10.1016/j.jinf.2020.02.019
medRxiv,10.1101/2020.03.03.20030627,2020-03-06,NA,NA,is_preprint_of,10.1186/s13104-020-05136-9
medRxiv,10.1101/2020.03.15.20036673,2020-03-18,NA,NA,is_preprint_of,10.1016/s2666-5247(20)30003-3
medRxiv,10.1101/2020.03.10.20033852,2020-03-16,NA,NA,is_preprint_of,10.3389/fmed.2020.00329
medRxiv,10.1101/2020.03.24.20041020,2020-03-27,NA,NA,is_preprint_of,10.1136/bmj.m1328
medRxiv,10.1101/2020.03.15.20036707,2020-03-18,NA,NA,is_preprint_of,10.1038/s41591-020-0869-5
medRxiv,10.1101/2020.04.07.20045617,2020-04-10,NA,NA,is_preprint_of,10.3389/fmed.2020.00260
medRxiv,10.1101/2020.03.28.20046243,2020-04-01,NA,NA,is_preprint_of,10.3390/jcm9051564
medRxiv,10.1101/2020.03.02.20026708,2020-03-06,NA,NA,is_preprint_of,10.1126/science.abb4218
medRxiv,10.1101/2020.03.06.20031278,2020-03-08,NA,NA,is_preprint_of,10.1016/j.sleep.2020.05.023
medRxiv,10.1101/2020.01.27.20018986,2020-01-28,NA,NA,is_preprint_of,10.2807/1560-7917.es.2020.25.5.2000062
medRxiv,10.1101/2020.02.23.20026690,2020-02-26,NA,NA,is_preprint_of,10.1038/s41591-020-0901-9
medRxiv,10.1101/2020.03.27.20045500,2020-03-30,NA,NA,is_preprint_of,10.1371/journal.pmed.1003144
medRxiv,10.1101/2020.03.05.20032003,2020-03-08,NA,NA,is_preprint_of,10.1017/s0950268820001107
medRxiv,10.1101/2020.03.27.20045807,2020-03-30,NA,NA,is_preprint_of,10.1371/journal.pone.0233410
medRxiv,10.1101/2020.02.19.20025452,2020-02-23,NA,NA,is_preprint_of,10.3201/eid2606.200357
medRxiv,10.1101/2020.03.09.20033514,2020-03-13,NA,NA,is_preprint_of,10.1016/j.epidem.2020.100392
medRxiv,10.1101/2020.04.02.20051029,2020-04-06,NA,NA,is_preprint_of,10.1016/j.infpip.2020.100061
medRxiv,10.1101/2020.03.21.20040139,2020-03-24,NA,NA,is_preprint_of,10.12688/f1000research.23107.1
medRxiv,10.1101/2020.03.04.20026005,2020-03-06,NA,NA,is_preprint_of,10.1002/jmv.25975
medRxiv,10.1101/2020.02.27.20028829,2020-02-29,NA,NA,is_preprint_of,10.1016/j.ijid.2020.03.031
medRxiv,10.1101/2020.02.24.20027649,2020-02-27,NA,NA,is_preprint_of,10.1016/j.idm.2020.02.003
medRxiv,10.1101/2020.03.15.20036418,2020-03-18,NA,NA,is_preprint_of,10.1002/jmv.25885
medRxiv,10.1101/2020.03.13.20034496,2020-03-16,NA,NA,is_preprint_of,10.1016/j.psychres.2020.112958
medRxiv,10.1101/2020.03.13.20035568,2020-03-17,NA,NA,is_preprint_of,10.2196/18790
medRxiv,10.1101/2020.02.29.20029322,2020-03-03,NA,NA,is_preprint_of,10.1016/j.bbi.2020.03.007
medRxiv,10.1101/2020.03.13.20035410,2020-03-17,NA,NA,is_preprint_of,10.1016/j.jinf.2020.03.018
